borough, year, population, white (includes white hispanics), non-hispanic whites, black, asian, other or mixed, hispanic/latino, foreign born
nyc, 1900, 3437202, 3369898, null, 60666, 6607, 31, null, 1270080
nyc, 1910, 4766883, 4669162, null, 91709, 5669, 343, null, 1944357
nyc, 1920, 5620048, 5459463, null, 152467, 7969, 149, null, 2028160 
nyc, 1930, 6930446, 6589377, null, 327706, 12972, 391, null, 2358686
nyc, 1940, 7454995, 6977501, 6856586, 458444, 17986, 1064, 120915, 2138657
nyc, 1950, 7891957, 7116441, null, 747608, 21441, 6467, null, 1784206
nyc, 1960, 7781984, 6640662, null, 1087931, 43103, 10288, null, 1558690
nyc, 1970, 7894862, 6048841, 4969749, 1668115, 94499, 83407, 1278630, 1437058
nyc, 1980, 7071639, 4294075, 3668945, 1784337, 231501, 761762, 1406024, 1670199
nyc, 1990, 7322564, 3827088, 3163125, 2102512, 512719, 880245, 1783511, 2082931
nyc, 2000, 8008278, 3576385, 2801267, 2129762, 792477, 1509654, 2160554, 2871031
nyc, 2010, 8175133, 3597341, 2722904, 2088510, 1043535, 1445747, 2336076, null

bronx, 1900, 200507, 197923, null, 2370, 208, 6, null, 61258 
bronx, 1910, 430980, 426650, null, 4117, 189, 24, null, 149427
bronx, 1920, 732016, 726990, null, 4803, 215, 8, null, 267742 
bronx, 1930, 1265258, 1251823, null, 12930, 476, 29, null, 479451
bronx, 1940, 1394711, 1370319, null, 23529, 801, 62, null, 463453
bronx, 1950, 1451277, 1351662, null, 97752, 1249, 64, null, 373894
bronx, 1960, 1424815, 1256284, null, 163896, 3544, 1091, null, 306592
bronx, 1970, 1471701, 1080859, null, 357681, 7792, 25369, null, 229210
bronx, 1980, 1168972, 554046, 396836, 371926, 15163, 227837, 396353, 215313
bronx, 1990, 1203789, 430077, 272503, 449399, 35562, 288751, 523111, 274793
bronx, 2000, 1332650, 398003, 193651, 475007, 41503, 418137, 644705, 385827
bronx, 2010, 1385108, 386497, 151209, 505200, 50897, 442514, 741413, null

brooklyn, 1900, 1166582, 1146909, null, 18367, 1300, 6, null, 355697 
brooklyn, 1910, 1634351, 1610487, null, 22708, 1010, 146, null, 574730
brooklyn, 1920, 2018356, 1984953, null, 31912, 1459, 32, null, 666188 
brooklyn, 1930, 2560401, 2488815, null, 68921, 2539, 126, null, 881571
brooklyn, 1940, 2698285, 2587951, null, 107263, 2608, 463, null, 778054
brooklyn, 1950, 2738175, 2525118, null, 208478, 2514, 2065, null, 630526
brooklyn, 1960, 2627319, 2245859, null, 371405, 6540, 3515, null, 516349
brooklyn, 1970, 2602012, 1905788, null, 656194, 16138, 23892, null, 456636
brooklyn, 1980, 2230936, 1249486, 1085233, 722812, 42965, 215673, 392118, 530973
brooklyn, 1990, 2300664, 1078549, 923229, 872305, 111251, 238559, 462411, 672569
brooklyn, 2000, 2465326, 1015728, 854532, 898350, 187283, 363965, 487878, 931769
brooklyn, 2010, 2504700, 1072041, 893306, 860083, 263519, 309057, 496285, null

manhattan, 1900, 1808968, 1808968, null, 36246, 4861, 18, null, 789626 
manhattan, 1910, 2331542, 2266578, null, 60534, 4260, 170, null, 1116477
manhattan, 1920, 2284103, 2168906, null, 109133, 6003, 61, null, 950264 
manhattan, 1930, 1867312, 1633329, null, 224670, 9124, 189, null, 689506
manhattan, 1940, 1889924, 1577625, null, 298365, 13467, 467, null, 582895
manhattan, 1950, 1960101, 1556599, null, 384482, 16083, 2937, null, 461102
manhattan, 1960, 1698281, 1271822, null, 397101, 25487, 3871, null, 374698
manhattan, 1970, 1539233, 1089302, null, 380442, 47332, 22157, null, 307630
manhattan, 1980, 1428285, 841204, 713854, 309854, 72884, 204343, 336247, 348581
manhattan, 1990, 1487536, 867227, 726755, 326967, 110629, 182713, 386630, 383866
manhattan, 2000, 1537195, 835610, 703873, 267302, 145607, 288676, 417816, 452440
manhattan, 2010, 1585872, 911073, 761493, 246687, 180425, 247688, 403577, null

**DO QUEENS THROUGH STATEN ISLAND**

queens, 1900, 200507, 197923, null, 2370, 208, 6, null, 61258 
queens, 1910, 430980, 426650, null, 4117, 189, 24, null, 149427
queens, 1920, 732016, 726990, null, 4803, 215, 8, null, 267742 
queens, 1930, 1265258, 1251823, null, 12930, 476, 29, null, 479451
queens, 1940, 1394711, 1370319, null, 23529, 801, 62, null, 463453
queens, 1950, 1451277, 1351662, null, 97752, 1249, 64, null, 373894
queens, 1960, 1424815, 1256284, null, 163896, 3544, 1091, null, 306592
queens, 1970, 1471701, 1080859, null, 357681, 7792, 25369, null, 229210
queens, 1980, 1168972, 554046, 396836, 371926, 15163, 227837, 396353, 215313
queens, 1990, 1203789, 430077, 272503, 449399, 35562, 288751, 523111, 274793
queens, 2000, 1332650, 398003, 193651, 475007, 41503, 418137, 644705, 385827
queens, 2010, 1385108, 386497, 151209, 505200, 50897, 442514, 741413, null

statenisland, 1900, 200507, 197923, null, 2370, 208, 6, null, 61258 
statenisland, 1910, 430980, 426650, null, 4117, 189, 24, null, 149427
statenisland, 1920, 732016, 726990, null, 4803, 215, 8, null, 267742 
statenisland, 1930, 1265258, 1251823, null, 12930, 476, 29, null, 479451
statenisland, 1940, 1394711, 1370319, null, 23529, 801, 62, null, 463453
statenisland, 1950, 1451277, 1351662, null, 97752, 1249, 64, null, 373894
statenisland, 1960, 1424815, 1256284, null, 163896, 3544, 1091, null, 306592
statenisland, 1970, 1471701, 1080859, null, 357681, 7792, 25369, null, 229210
statenisland, 1980, 1168972, 554046, 396836, 371926, 15163, 227837, 396353, 215313
statenisland, 1990, 1203789, 430077, 272503, 449399, 35562, 288751, 523111, 274793
statenisland, 2000, 1332650, 398003, 193651, 475007, 41503, 418137, 644705, 385827
statenisland, 2010, 1385108, 386497, 151209, 505200, 50897, 442514, 741413, null
