QUEENS -- NOT DONE YET
year, population, white (includes white hispanics), non-hispanic whites, black, asian, other or mixed, hispanic/latino, foreign born
1900, 200507, 197923, null, 2370, 208, 6, null, 61258, 
1910, 430980, 426650, null, 4117, 189, 24, null, 149427,
1920, 732016, 726990, null, 4803, 215, 8, null, 267742, 
1930, 1265258, 1251823, null, 12930, 476, 29, null, 479451,
1940, 1394711, 1370319, null, 23529, 801, 62, null, 463453,
1950, 1451277, 1351662, null, 97752, 1249, 64, null, 373894,
1960, 1424815, 1256284, null, 163896, 3544, 1091, null, 306592,
1970, 1471701, 1080859, null, 357681, 7792, 25369, null, 229210,
1980, 1168972, 554046, 396836, 371926, 15163, 227837, 396353, 215313,
1990, 1203789, 430077, 272503, 449399, 35562, 288751, 523111, 274793,
2000, 1332650, 398003, 193651, 475007, 41503, 418137, 644705, 385827,
2010, 1385108, 386497, 151209, 505200, 50897, 442514, 741413, null,
