school, year, total enrollment, female, male, asian, black, hispanic, other, white

bxsci, 2011, 3013, 1272, 1741, 1912, 105, 216, 16, 764
bxsci, 2012, 3060, 1286, 1774, 1939, 101, 211, 91, 718
bxsci, 2013, 3037, 1297, 1740, 1891, 91, 195, 158, 702
bxsci, 2014, 3015, 1311, 1704, 1893, 77, 168, 210, 667
bxsci, 2015, 3010, 1293, 1717, 1871, 67, 160, 280, 632 

bklatin, 2011, 468, 211, 257, 172, 125, 84, 19, 68
bklatin, 2012, 509, 237, 272, 200, 138, 76, 12, 83
bklatin, 2013, 592, 269, 323, 264, 145, 91, 19, 73
bklatin, 2014, 676, 306, 370, 243, 131, 98, 112, 92
bklatin, 2015, 664, 302, 362, 267, 114, 92, 101, 90

bktech, 2011, 5332, 2226, 3106, 3214, 542, 420, 21, 1135
bktech, 2012, 5451, 2259, 3192, 3263, 494, 451, 131, 1112
bktech, 2013, 5458, 2258, 3200, 3304, 449, 437, 180, 1088
bktech, 2014, 5447, 2240, 3207, 3299, 417, 413, 208, 1110 
bktech, 2015, 5534, 2284, 3250, 3340, 417, 404, 211, 1162

hsmse, 2011, 406, 139, 267, 147, 61, 86, 6, 106
hsmse, 2012, 439, 146, 293, 151, 54, 97, 21, 116
hsmse, 2013, 456, 148, 308, 168, 41, 109, 23, 115
hsmse, 2014, 470, 143, 327, 175, 42, 102, 35, 116
hsmse, 2015, 475, 146, 329, 167, 47, 107, 26, 128

lag, 2011, 2605, 1917, 688, 510, 337, 432, 45, 1281
lag, 2012, 2688, 1972, 716, 551, 344, 450, 59, 1284
lag, 2013, 2730, 1990, 740, 530, 317, 520, 109, 1254
lag, 2014, 2635, 1926, 709, 512, 298, 506, 141, 1178
lag, 2015, 2713, 1999, 714, 518, 313, 528, 158, 1196

lehman, 2011, 377, 174, 203, 63, 40, 68, 3, 203
lehman, 2012, 395, 185, 210, 80, 33, 60, 22, 200
lehman, 2013, 387, 175, 212, 87, 27, 60, 6, 207
lehman, 2014, 376, 173, 203, 87, 15, 57, 26, 191 
lehman, 2015, 369, 175, 194, 80, 13, 54, 14, 208

qsci, 2011, 418, 182, 236, 311, 44, 33, 2, 28
qsci, 2012, 400, 180, 220, 292, 34, 37, 12, 25
qsci, 2013, 419, 201, 218, 311, 28, 42, 11, 27
qsci, 2014, 426, 195, 231, 322, 30, 45, 3, 26
qsci, 2015, 434, 189, 245, 333, 22, 44, 5, 30

sitech, 2011, 1104, 475, 629, 351, 12, 59, 5, 677
sitech, 2012, 1185, 514, 671, 393, 11, 63, 13, 705
sitech, 2013, 1235, 529, 706, 446, 14, 67, 7, 701
sitech, 2014, 1247, 529, 718, 512, 13, 65, 6, 651
sitech, 2015, 1279, 552, 727, 544, 19, 55, 5, 656

stuy, 2011, 3297, 1341, 1956, 2377, 40, 80, 20, 780
stuy, 2012, 3286, 1363, 1923, 2375, 36, 78, 38, 759
stuy, 2013, 3292, 1330, 1962, 2409, 33, 77, 60, 713
stuy, 2014, 3296, 1359, 1937, 2417, 28, 85, 92, 674
stuy, 2015, 3327, 1419, 1908, 2443, 20, 88, 142, 634


